loc,lat,longit,grouper,scenario,ensemble,year,spray1,spray2,spray3,dd1,dd2,dd3,dd3off,pon1,pon2,pon3,poff1,poff3,duration,maxdd,totdd,residue1,residue2,residue3,mdeffect,ceffectnmd,ceffectmd,time1,time2,time3,time4
East Oroville,48.980461,-119.41203,63,Historical,BNU-ESM,1987,01jun1987,10jun1987,24jun1987,366,521,713,991,.011412518089239,.1597656811991448,.6062651466795138,.1509646409972667,.9598291489785251,.939615590687408,2448,2601,0,14,14,41.882782,16.015974,6.4844546,1,,,
East Oroville,48.980461,-119.41203,64,Historical,BNU-ESM,1988,03may1988,21may1988,04jun1988,380,525,763,991,.0159104576369678,.1670000887723324,.7124597257938499,.1762801743775738,.9598291489785251,.9531987769467987,2828,2967,0,14,14,36.79776,14.781109,5.8084402,1,,,
East Oroville,48.980461,-119.41203,65,Historical,BNU-ESM,1989,16may1989,26may1989,09jun1989,380,529,757,954,.0159104576369678,.1744033520426749,.7006760441513662,.1762801743775738,.941675135781153,.9276415004790841,2767,2912,0,14,14,35.286106,15.909686,5.5077119,1,,,
East Oroville,48.980461,-119.41203,66,Historical,BNU-ESM,1990,20may1990,01jun1990,15jun1990,375,520,638,754,.0141687136091938,.1579838190064852,.4232815074703906,.1670000887723324,.6946796417400705,.6895271978967239,2165,2259,0,14,14,63.77084,35.031685,20.825556,1,,,
East Oroville,48.980461,-119.41203,67,Historical,BNU-ESM,1991,05jun1991,17jun1991,01jul1991,381,527,705,1025,.0162779483662256,.1706808112511181,.5877633712461989,.178167293167297,.9719376089994729,.9631461425494262,2386,2532,0,14,14,42.486919,15.838031,6.3271904,1,,,
East Oroville,48.980461,-119.41203,68,Historical,BNU-ESM,1992,22may1992,02jun1992,16jun1992,375,526,679,940,.0141687136091938,.1688351972932566,.525474564934952,.1670000887723324,.9331688909479336,.9171650688178157,2676,2771,0,14,14,43.70356,16.426367,6.7327304,1,,,
East Oroville,48.980461,-119.41203,69,Historical,BNU-ESM,1993,24may1993,11jun1993,25jun1993,375,530,840,1085,.0141687136091938,.1762801743775738,.8376973429822043,.1670000887723324,.9856143886530461,.9621655894386109,2453,2481,0,14,14,42.606091,15.898508,6.8789816,1,,,
East Oroville,48.980461,-119.41203,70,Historical,BNU-ESM,1994,08jun1994,25jun1994,09jul1994,378,520,690,941,.0151948384005804,.1579838190064852,.5521851554180216,.1725368800660678,.9338095116714638,.933167734330466,2018,2153,0,14,14,59.810143,17.932049,10.440109,1,,,
East Oroville,48.980461,-119.41203,71,Historical,BNU-ESM,1995,22apr1995,06may1995,20may1995,369,522,724,852,.0122795160933843,.1615582847413053,.6310924315161435,.1562127419008381,.852877496011672,.8352524370778205,2780,2873,0,14,14,39.023655,21.478083,7.8173032,1,,,
East Oroville,48.980461,-119.41203,72,Historical,BNU-ESM,1996,06jun1996,16jun1996,30jun1996,380,528,750,1090,.0159104576369678,.1725368800660678,.6865777070390204,.1762801743775738,.9864197826645704,.9742526193391086,2473,2591,0,14,14,38.385525,15.108886,5.7942333,1,,,
East Oroville,48.980461,-119.41203,73,Historical,BNU-ESM,1997,08jun1997,16jun1997,30jun1997,370,526,725,951,.0125797706049876,.1688351972932566,.6333120021592886,.1579838190064852,.939934551235984,.916503402344225,2297,2356,0,14,14,45.170876,18.34096,7.4107418,1,,,
East Oroville,48.980461,-119.41203,74,Historical,BNU-ESM,1998,11jun1998,26jun1998,10jul1998,373,521,829,1218,.0135153116235142,.1597656811991448,.8227803667145506,.1633615847384016,.997166563451691,.9872471553674335,2279,2365,0,14,14,39.054127,14.685394,5.8313518,1,,,
East Oroville,48.980461,-119.41203,75,Historical,BNU-ESM,1999,06may1999,18may1999,01jun1999,375,531,811,955,.0141687136091938,.178167293167297,.7962518563489382,.1670000887723324,.9422456708390887,.9169097528349304,2673,2835,0,14,14,37.143768,16.623243,6.2958035,1,,,
East Oroville,48.980461,-119.41203,76,Historical,BNU-ESM,2000,02jun2000,11jun2000,25jun2000,379,525,765,986,.0155494454805626,.1670000887723324,.7163249110376377,.1744033520426749,.9577072112250989,.9495610290148788,2577,2798,0,14,14,42.771278,16.445248,7.0347986,1,,,
East Oroville,48.980461,-119.41203,77,Historical,BNU-ESM,2001,27may2001,05jun2001,19jun2001,374,515,736,980,.0138389932426956,.1492371182624762,.6572893672708608,.1651755351451852,.9550322858023548,.9571317094423681,2505,2604,0,14,14,47.716301,16.199442,7.9408588,1,,,
East Oroville,48.980461,-119.41203,78,Historical,BNU-ESM,2002,26may2002,01jun2002,15jun2002,369,520,776,1044,.0122795160933843,.1579838190064852,.7370131587125339,.1562127419008381,.9771816211961784,.9631310279971469,2634,2764,0,14,14,37.199997,14.312131,5.3862414,1,,,
East Oroville,48.980461,-119.41203,79,Historical,BNU-ESM,2003,24may2003,07jun2003,21jun2003,376,519,748,984,.0145045457879922,.1562127419008381,.6824815507578958,.1688351972932566,.9568314141105266,.9549493237149529,2804,2919,0,14,14,35.607533,14.962493,5.2856612,1,,,
East Oroville,48.980461,-119.41203,80,Historical,BNU-ESM,2004,23may2004,07jun2004,21jun2004,377,527,639,787,.0148465629584921,.1706808112511181,.4257920270921924,.1706808112511181,.7567201704265435,.7418736074680514,2300,2440,0,14,14,57.13554,28.695671,13.936148,1,,,
East Oroville,48.980461,-119.41203,81,Historical,BNU-ESM,2005,16may2005,27may2005,10jun2005,381,516,670,833,.0162779483662256,.1509646409972667,.5033128930871419,.178167293167297,.8283170696354136,.8392417734392184,2518,2595,0,14,14,51.881504,22.786013,11.74165,1,,,
East Oroville,48.980461,-119.41203,82,Historical,CanESM2,1979,11may1979,01jun1979,15jun1979,376,526,662,934,.0145045457879922,.1688351972932566,.4834354413802676,.1688351972932566,.9292141821019472,.9147096363139549,2470,2588,0,14,14,46.274422,17.436287,8.6195698,1,,,
