"location","ann_prec_mean","centroid","cluster","fips"
"48.09375_-121.96875",1602.96,1211.6,"least precip",53061
"48.09375_-122.03125",1337.72,1211.6,"least precip",53061
"48.09375_-122.09375",1377.08,1211.6,"least precip",53061
"48.09375_-122.15625",1130.45,1211.6,"least precip",53061
"48.09375_-122.21875",1059.38,1211.6,"least precip",53061
"48.09375_-122.28125",1004.25,1211.6,"least precip",53061
"48.15625_-120.96875",1943.67,2055.41,"lesser precip",53061
"48.15625_-121.03125",1926.75,2055.41,"lesser precip",53061
"48.15625_-121.09375",2138.23,2055.41,"lesser precip",53061
"48.15625_-121.15625",2470.01,2759.57,"less precip",53061
"48.15625_-121.21875",2694.27,2759.57,"less precip",53061
"48.15625_-121.28125",2731.53,2759.57,"less precip",53061
"48.15625_-121.34375",2916.32,2759.57,"less precip",53061
"48.15625_-121.40625",3076.26,2759.57,"less precip",53061
"48.15625_-121.46875",2974.16,2759.57,"less precip",53061
