Varroa Population Simulation - Aug 13,2019  11:42:04 AM
VarroaPop Version 3.2.8.16 September 2018

                                        Capped  Capped                                                                      Prop           Conc          Conc                                             
            Colony  Adult  Adult         Drone   Wkr    Drone  Wkr    Drone  Wkr  Free   DBrood WBrood DMite  WMite  Mites  Mites  Colony Pollen Colony Nectar   Dead   Dead   Dead   Dead   Dead    Queen      Ave
     Date   Size   Drones   Wkr   Forgrs Brood  Brood   Larv   Larv    Eggs  Eggs Mites  Mites  Mites  /Cell  /Cell  Dying  Dying  Pollen  Pest  Nectar  Pest    DLarv  WLarv  DAdlt  WAdlt  Forgrs  Strength   Temp   Rain
04/17/2002   6511      0    364   1953      9   8202     97   6220     64   3844      0      0      0   0.00   0.00      0   0.00 6961.4  0.000    0.0  0.000      0      0      0      0      0      5.000   28.095  0.000
04/18/2002   6372      0    545   1911     16   9222    108   6180     71   4096      0      0      0   0.00   0.00      0   0.00 7087.2  0.000    0.0  0.000      0      0      0      0      0      5.000   29.915  0.000
04/19/2002   5794      0    777   1738     26  10244    120   6235     73   4197      0      0      0   0.00   0.00      0   0.00 7199.3  0.000    0.0  0.000      0      0      0      0      0      5.000   33.005  0.000
04/20/2002   4796      0   1067   1438     38  11262    132   6301     68   4112      0      0      0   0.00   0.00      0   0.00 7288.8  0.000    0.0  0.000      0      0      0      0      0      5.000   29.725  0.000
04/21/2002   4693      0   1419   1407     53  12221    142   6403     54   3705      0      0      0   0.00   0.00      0   0.00 7374.9  0.000    0.0  0.000      0      0      0      0      0      5.000   24.080  0.000
04/22/2002   4550      0   1821   1365     70  12965    149   6667     38   3240      0      0      0   0.00   0.00      0   0.00 7455.7  0.000    0.0  0.000      0      0      0      0      0      5.000   24.195  0.000
04/23/2002   4461      0   2342   1338     89  13605    149   6795     25   2903      0      0      0   0.00   0.00      0   0.00 7531.4  0.000    0.0  0.000      0      0      0      0      0      5.000   29.700  0.000
04/24/2002   5087      0   2968   1526    106  14288    143   6492     16   2735      0      0      0   0.00   0.00      0   0.00 7500.2  0.000    0.0  0.000      0      0      0      0      0      5.000   30.690  0.575
04/25/2002   5153      0   3659   1494    124  14971    133   6063     10   2555      0      0      0   0.00   0.00      0   0.00 7580.3  0.000    0.0  0.000      0      0      0      0      0      5.000   25.430  0.000
04/26/2002   5116      0   4453    663    146  15590    117   5602      4   2219      0      0      0   0.00   0.00      0   0.00 7593.5  0.000    0.0  0.000      0      0      0      0      0      5.000   25.395  0.000
04/27/2002   5685      0   5371    314    170  16082     95   5030      2   1709      0      0      0   0.00   0.00      0   0.00 7576.0  0.000    0.0  0.000      0      0      0      0      0      5.000   23.615  0.000
04/28/2002   6368      0   6368      0    195  16374     72   4506      0   1132      0      0      0   0.00   0.00      0   0.00 7530.5  0.000    0.0  0.000      0      0      0      0      0      5.000   26.615  0.000
04/29/2002   7430      1   7429      0    218  16319     48   4116      0    516      0      0      0   0.00   0.00      0   0.00 7479.3  0.000    0.0  0.000      0      0      0      0      0      5.000   26.195  0.000
04/30/2002   8570      4   8566      0    234  16127     29   3499      0    188      0      0      0   0.00   0.00      0   0.00 7422.2  0.000    0.0  0.000      0      0      0      0      0      5.000   29.530  0.000
05/01/2002   9776      9   9767      0    240  15878     18   2735      0      0      0      0      0   0.00   0.00      0   0.00 7359.4  0.000    0.0  0.000      0      0      0      0      0      5.000   24.845  0.000
05/02/2002  11037     16  11021      0    241  15462     10   1897      0      0      0      0      0   0.00   0.00      0   0.00 7290.8  0.000    0.0  0.000      0      0      0      0      0      5.000   24.080  0.000
05/03/2002  12355     26  12326      3    237  14919      4   1132      0      0      0      0      0   0.00   0.00      0   0.00 7217.2  0.000    0.0  0.000      0      0      0      0      0      5.000   22.970  0.000
05/04/2002  13678     38  13619     21    227  14224      2    516      0      1      0      0      0   0.00   0.00      0   0.00 7139.2  0.000    0.0  0.000      0      0      0      0      0      5.000   24.155  0.550
05/05/2002  14839     53  14727     59    214  13406      0    188      0     12      0      0      0   0.00   0.00      0   0.00 7057.7  0.000    0.0  0.000      0      0      0      0      0      5.000   20.160  1.625
05/06/2002  16017     70  15826    121    197  12433      0      0      0     44      0      0      0   0.00   0.00      0   0.00 6973.2  0.000    0.0  0.000      0      0      0      0      0      5.000   19.580  0.200
05/07/2002  17345     89  17033    223    178  11124      0      1      0    116      0      0      0   0.00   0.00      0   0.00 6901.6  0.000    0.0  0.000      0      0      0      0      0      5.000   23.300  0.125
05/08/2002  18736    106  18266    364    161   9750      0     12      0    235      0      0      0   0.00   0.00      0   0.00 6808.7  0.000    0.0  0.000      0      0      0      0      0      5.000   23.760  0.500
05/09/2002  20167    124  19498    545    143   8337      0     44      0    391      0      0      0   0.00   0.00      0   0.00 6753.5  0.000    0.0  0.000      0      0      0      0      0      5.000   21.465  0.000
05/10/2002  21599    146  20676    777    121   6927      0    117      0    549      0      0      0   0.00   0.00      0   0.00 6768.7  0.000    0.0  0.000      0      0      0      0      0      5.000   17.605  0.000
05/11/2002  22912    170  21675   1067     97   5638      0    247      0    764      0      0      0   0.00   0.00      0   0.00 6747.2  0.000    0.0  0.000      0      0      0      0      0      5.000   21.090  0.000
05/12/2002  23943    195  22329   1419     72   4633      0    434      0   1024      0      0      0   0.00   0.00      0   0.00 6752.3  0.000    0.0  0.000      0      0      0      0      0      5.000   21.975  0.000
