lat,lon,cellid,stateid,apple,pears,walnut
48.65625,-119.15625,353902,53,0.000015,0.000000,0.000000
48.65625,-118.71875,353909,53,0.000122,0.000031,0.000000
48.65625,-118.65625,353910,53,0.000031,0.000000,0.000000
48.59375,-122.46875,352913,53,0.000046,0.000000,0.000000
48.59375,-122.40625,352914,53,0.004303,0.000000,0.000000
48.59375,-119.71875,352957,53,0.000046,0.000000,0.000000
48.59375,-119.65625,352958,53,0.000443,0.000000,0.000000
48.59375,-119.59375,352959,53,0.001083,0.000183,0.000000
48.59375,-119.53125,352960,53,0.001709,0.000244,0.000000
48.59375,-119.46875,352961,53,0.002136,0.001175,0.000000
48.59375,-119.40625,352962,53,0.000076,0.000031,0.000000
48.59375,-119.34375,352963,53,0.000290,0.000031,0.000000
48.59375,-119.09375,352967,53,0.000046,0.000259,0.000000
48.59375,-119.03125,352968,53,0.000031,0.000000,0.000000
48.59375,-118.15625,352982,53,0.001022,0.000000,0.000000
48.59375,-118.09375,352983,53,0.000381,0.000000,0.000000
48.59375,-118.03125,352984,53,0.000107,0.000000,0.000000
48.53125,-122.46875,351977,53,0.001328,0.000000,0.000076
48.53125,-122.40625,351978,53,0.000458,0.000000,0.000000
48.53125,-122.34375,351979,53,0.000183,0.000000,0.000000
48.53125,-122.28125,351980,53,0.000259,0.000000,0.000000
48.53125,-122.21875,351981,53,0.000046,0.000000,0.000000
48.53125,-122.15625,351982,53,0.002655,0.000000,0.000000
48.53125,-120.21875,352013,53,0.000000,0.000168,0.000000
48.53125,-120.15625,352014,53,0.000183,0.000488,0.000000
48.53125,-120.03125,352016,53,0.000031,0.000000,0.000000
48.53125,-119.90625,352018,53,0.000046,0.000000,0.000000
48.53125,-119.78125,352020,53,0.000198,0.000000,0.000000
48.53125,-119.71875,352021,53,0.001144,0.000092,0.000000
48.53125,-119.65625,352022,53,0.002792,0.000000,0.000000
48.53125,-119.59375,352023,53,0.000793,0.000000,0.000000
48.53125,-119.53125,352024,53,0.007172,0.000992,0.000000
48.53125,-119.46875,352025,53,0.002121,0.000626,0.000000
48.53125,-119.40625,352026,53,0.000031,0.000000,0.000000
48.53125,-119.03125,352032,53,0.000015,0.000000,0.000000
48.53125,-118.96875,352033,53,0.000092,0.000000,0.000000
48.53125,-117.90625,352050,53,0.000031,0.000000,0.000000
48.46875,-122.40625,351042,53,0.001877,0.000000,0.000000
48.46875,-122.34375,351043,53,0.000702,0.000000,0.000000
48.46875,-122.28125,351044,53,0.008499,0.000000,0.000031
48.46875,-122.21875,351045,53,0.000046,0.000000,0.000000
48.46875,-120.28125,351076,53,0.000000,0.000046,0.000000
48.46875,-120.15625,351078,53,0.001022,0.007629,0.000000
48.46875,-119.71875,351085,53,0.000900,0.000046,0.000000
48.46875,-119.65625,351086,53,0.000458,0.000076,0.000000
48.46875,-119.59375,351087,53,0.013596,0.003540,0.000000
48.46875,-119.53125,351088,53,0.081528,0.017487,0.000000
48.46875,-119.46875,351089,53,0.038376,0.009476,0.000000
48.46875,-119.21875,351093,53,0.000031,0.000000,0.000000
48.46875,-117.84375,351115,53,0.000031,0.000000,0.000000
48.46875,-117.71875,351117,53,0.000061,0.000000,0.000000
48.40625,-122.46875,350105,53,0.000076,0.000000,0.000000
