"location","elevation","state_fips","state","lat","long","biofix"
"36.96875_-120.09375",80.8,"06","CA",36.96875,-120.09375,208.01443140625
"36.96875_-120.15625",71.4,"06","CA",36.96875,-120.15625,208.34061140625
"36.96875_-120.21875",63.9,"06","CA",36.96875,-120.21875,208.60086140625
"36.96875_-121.40625",129.7,"06","CA",36.96875,-121.40625,206.31760140625
"37.03125_-119.96875",106.5,"06","CA",37.03125,-119.96875,206.07557890625
"37.03125_-120.03125",97.7,"06","CA",37.03125,-120.03125,206.38093890625
"37.03125_-120.09375",84.5,"06","CA",37.03125,-120.09375,206.83897890625
"37.03125_-120.15625",76.8,"06","CA",37.03125,-120.15625,207.10616890625
"37.03125_-120.21875",70.1,"06","CA",37.03125,-120.21875,207.33865890625
"37.03125_-120.28125",62.6,"06","CA",37.03125,-120.28125,207.59890890625
"37.03125_-120.34375",55.9,"06","CA",37.03125,-120.34375,207.83139890625
"37.09375_-120.09375",95.4,"06","CA",37.09375,-120.09375,205.41896765625
"37.09375_-120.15625",86.9,"06","CA",37.09375,-120.15625,205.71391765625
"37.09375_-120.21875",77.3,"06","CA",37.09375,-120.21875,206.04703765625
"37.09375_-120.28125",69.3,"06","CA",37.09375,-120.28125,206.32463765625
"37.15625_-120.21875",82.5,"06","CA",37.15625,-120.21875,204.83009765625
"37.15625_-121.03125",50.8,"06","CA",37.15625,-121.03125,205.93008765625
"37.21875_-120.21875",83,"06","CA",37.21875,-120.21875,203.78152890625
"37.21875_-120.28125",73.5,"06","CA",37.21875,-120.28125,204.11117890625
"37.21875_-120.34375",65.3,"06","CA",37.21875,-120.34375,204.39571890625
"37.21875_-120.40625",56,"06","CA",37.21875,-120.40625,204.71842890625
"37.21875_-121.03125",39.9,"06","CA",37.21875,-121.03125,205.27709890625
"37.28125_-120.28125",77.2,"06","CA",37.28125,-120.28125,202.95685140625
"37.28125_-120.34375",67.1,"06","CA",37.28125,-120.34375,203.30732140625
"37.28125_-120.40625",59.9,"06","CA",37.28125,-120.40625,203.55716140625
"37.28125_-121.03125",32.8,"06","CA",37.28125,-121.03125,204.49753140625
"37.28125_-121.09375",64.1,"06","CA",37.28125,-121.09375,203.41142140625
"37.34375_-120.40625",68.3,"06","CA",37.34375,-120.40625,202.24502515625
"37.34375_-120.96875",21.4,"06","CA",37.34375,-120.96875,203.87245515625
"37.34375_-121.03125",27.9,"06","CA",37.34375,-121.03125,203.64690515625
"37.34375_-121.09375",50.1,"06","CA",37.34375,-121.09375,202.87656515625
"37.40625_-120.53125",67,"06","CA",37.40625,-120.53125,201.27476015625
"37.40625_-120.71875",43.5,"06","CA",37.40625,-120.71875,202.09021015625
"37.40625_-121.03125",21.7,"06","CA",37.40625,-121.03125,202.84667015625
"37.40625_-121.09375",40.3,"06","CA",37.40625,-121.09375,202.20125015625
"37.40625_-121.15625",100.8,"06","CA",37.40625,-121.15625,200.10190015625
"37.46875_-120.46875",90.1,"06","CA",37.46875,-120.46875,199.46309640625
"37.46875_-120.53125",65,"06","CA",37.46875,-120.53125,200.33406640625
"37.46875_-120.59375",59,"06","CA",37.46875,-120.59375,200.54226640625
"37.46875_-120.65625",57.7,"06","CA",37.46875,-120.65625,200.58737640625
"37.46875_-120.71875",49.7,"06","CA",37.46875,-120.71875,200.86497640625
"37.46875_-120.78125",40.5,"06","CA",37.46875,-120.78125,201.18421640625
"37.46875_-121.03125",15.9,"06","CA",37.46875,-121.03125,202.03783640625
"37.46875_-121.09375",20.2,"06","CA",37.46875,-121.09375,201.88862640625
"37.46875_-121.15625",49.4,"06","CA",37.46875,-121.15625,200.87538640625
"37.46875_-121.21875",211.8,"06","CA",37.46875,-121.21875,195.24010640625
"37.53125_-120.65625",71.6,"06","CA",37.53125,-120.65625,199.10023390625
"37.53125_-120.71875",60.1,"06","CA",37.53125,-120.71875,199.49928390625
"37.53125_-120.96875",21.7,"06","CA",37.53125,-120.96875,200.83176390625
"37.53125_-121.03125",16,"06","CA",37.53125,-121.03125,201.02955390625
"37.53125_-121.09375",13.6,"06","CA",37.53125,-121.09375,201.11283390625
"37.53125_-121.15625",23.7,"06","CA",37.53125,-121.15625,200.76236390625
"37.53125_-121.21875",54.6,"06","CA",37.53125,-121.21875,199.69013390625
"37.53125_-121.28125",205.6,"06","CA",37.53125,-121.28125,194.45043390625
"37.59375_-120.71875",57,"06","CA",37.59375,-120.71875,198.60732265625
"37.59375_-120.78125",45.5,"06","CA",37.59375,-120.78125,199.00637265625
"37.59375_-120.84375",38.1,"06","CA",37.59375,-120.84375,199.26315265625
"37.59375_-120.90625",30.3,"06","CA",37.59375,-120.90625,199.53381265625
"37.59375_-120.96875",25.4,"06","CA",37.59375,-120.96875,199.70384265625
"37.59375_-121.03125",21.8,"06","CA",37.59375,-121.03125,199.82876265625
"37.59375_-121.09375",17.1,"06","CA",37.59375,-121.09375,199.99185265625
"37.59375_-121.15625",11.7,"06","CA",37.59375,-121.15625,200.17923265625
"37.59375_-121.21875",18,"06","CA",37.59375,-121.21875,199.96062265625
"37.59375_-121.28125",44.4,"06","CA",37.59375,-121.28125,199.04454265625
"37.65625_-120.65625",60.9,"06","CA",37.65625,-120.65625,197.47774265625
"37.65625_-120.71875",54.6,"06","CA",37.65625,-120.71875,197.69635265625
"37.65625_-120.78125",47.5,"06","CA",37.65625,-120.78125,197.94272265625
"37.65625_-120.84375",40.9,"06","CA",37.65625,-120.84375,198.17174265625
"37.65625_-120.90625",35.1,"06","CA",37.65625,-120.90625,198.37300265625
"37.65625_-121.03125",25.2,"06","CA",37.65625,-121.03125,198.71653265625
"37.65625_-121.09375",19,"06","CA",37.65625,-121.09375,198.93167265625
"37.65625_-121.15625",12.6,"06","CA",37.65625,-121.15625,199.15375265625
"37.65625_-121.21875",9.6,"06","CA",37.65625,-121.21875,199.25785265625
"37.65625_-121.28125",19.3,"06","CA",37.65625,-121.28125,198.92126265625
"37.65625_-121.34375",37.7,"06","CA",37.65625,-121.34375,198.28278265625
"37.65625_-121.40625",70,"06","CA",37.65625,-121.40625,197.16197265625
"37.71875_-120.65625",72.1,"06","CA",37.71875,-120.65625,196.10013390625
"37.71875_-120.71875",61.3,"06","CA",37.71875,-120.71875,196.47489390625
"37.71875_-120.78125",63.1,"06","CA",37.71875,-120.78125,196.41243390625
"37.71875_-120.84375",54.3,"06","CA",37.71875,-120.84375,196.71779390625
"37.71875_-120.90625",43.4,"06","CA",37.71875,-120.90625,197.09602390625
"37.71875_-120.96875",34.5,"06","CA",37.71875,-120.96875,197.40485390625
"37.71875_-121.03125",28.2,"06","CA",37.71875,-121.03125,197.62346390625
"37.71875_-121.09375",21.7,"06","CA",37.71875,-121.09375,197.84901390625
"37.71875_-121.15625",15.9,"06","CA",37.71875,-121.15625,198.05027390625
"37.71875_-121.21875",9.7,"06","CA",37.71875,-121.21875,198.26541390625
"37.71875_-121.28125",6.2,"06","CA",37.71875,-121.28125,198.38686390625
"37.71875_-121.34375",13.1,"06","CA",37.71875,-121.34375,198.14743390625
"37.71875_-121.40625",24.5,"06","CA",37.71875,-121.40625,197.75185390625
"37.78125_-120.71875",81.5,"06","CA",37.78125,-120.71875,194.79026640625
"37.78125_-120.78125",66.3,"06","CA",37.78125,-120.78125,195.31770640625
"37.78125_-120.84375",54.9,"06","CA",37.78125,-120.84375,195.71328640625
"37.78125_-120.90625",44.8,"06","CA",37.78125,-120.90625,196.06375640625
"37.78125_-120.96875",39.3,"06","CA",37.78125,-120.96875,196.25460640625
"37.78125_-121.03125",31,"06","CA",37.78125,-121.03125,196.54261640625
"37.78125_-121.09375",23,"06","CA",37.78125,-121.09375,196.82021640625
"37.78125_-121.15625",16.7,"06","CA",37.78125,-121.15625,197.03882640625
"37.78125_-121.21875",10.6,"06","CA",37.78125,-121.21875,197.25049640625
"37.78125_-121.28125",4.2,"06","CA",37.78125,-121.28125,197.47257640625
"37.78125_-121.34375",2.7,"06","CA",37.78125,-121.34375,197.52462640625
"37.78125_-78.96875",270.4,"51","VA",37.78125,-78.96875,188.23543640625
"37.84375_-120.71875",94.2,"06","CA",37.84375,-120.71875,193.37117015625
"37.84375_-120.84375",67.5,"06","CA",37.84375,-120.84375,194.29766015625
"37.84375_-120.90625",51.4,"06","CA",37.84375,-120.90625,194.85633015625
"37.84375_-120.96875",38.5,"06","CA",37.84375,-120.96875,195.30396015625
"37.84375_-121.03125",29.2,"06","CA",37.84375,-121.03125,195.62667015625
"37.84375_-121.09375",20.5,"06","CA",37.84375,-121.09375,195.92856015625
"37.84375_-121.15625",14.3,"06","CA",37.84375,-121.15625,196.14370015625
"37.84375_-121.21875",9.9,"06","CA",37.84375,-121.21875,196.29638015625
"37.84375_-121.28125",4.2,"06","CA",37.84375,-121.28125,196.49417015625
"37.84375_-121.34375",1.1,"06","CA",37.84375,-121.34375,196.60174015625
"37.84375_-121.40625",0.1,"06","CA",37.84375,-121.40625,196.63644015625
"37.90625_-120.84375",61.4,"06","CA",37.90625,-120.84375,193.53620515625
"37.90625_-120.90625",50.7,"06","CA",37.90625,-120.90625,193.90749515625
"37.90625_-120.96875",38.8,"06","CA",37.90625,-120.96875,194.32042515625
"37.90625_-121.03125",28.5,"06","CA",37.90625,-121.03125,194.67783515625
"37.90625_-121.09375",22.1,"06","CA",37.90625,-121.09375,194.89991515625
"37.90625_-121.15625",15.7,"06","CA",37.90625,-121.15625,195.12199515625
"37.90625_-121.21875",8.8,"06","CA",37.90625,-121.21875,195.36142515625
"37.90625_-121.28125",4.1,"06","CA",37.90625,-121.28125,195.52451515625
"37.90625_-121.34375",-0.1,"06","CA",37.90625,-121.34375,195.67025515625
"37.90625_-121.40625",-1.1,"06","CA",37.90625,-121.40625,195.70495515625
"37.96875_-120.96875",52.4,"06","CA",37.96875,-120.96875,192.88066140625
"37.96875_-121.03125",33.5,"06","CA",37.96875,-121.03125,193.53649140625
"37.96875_-121.09375",24.2,"06","CA",37.96875,-121.09375,193.85920140625
"37.96875_-121.15625",17.5,"06","CA",37.96875,-121.15625,194.09169140625
"37.96875_-121.21875",10.8,"06","CA",37.96875,-121.21875,194.32418140625
"37.96875_-121.40625",-3.4,"06","CA",37.96875,-121.40625,194.81692140625
"37.96875_-121.46875",-4.6,"06","CA",37.96875,-121.46875,194.85856140625
"38.03125_-120.96875",64.3,"06","CA",38.03125,-120.96875,191.50516890625
"38.03125_-121.03125",39.6,"06","CA",38.03125,-121.03125,192.36225890625
"38.03125_-121.09375",28.1,"06","CA",38.03125,-121.09375,192.76130890625
"38.03125_-121.15625",20.9,"06","CA",38.03125,-121.15625,193.01114890625
"38.03125_-121.21875",15,"06","CA",38.03125,-121.21875,193.21587890625
"38.03125_-121.28125",7.8,"06","CA",38.03125,-121.28125,193.46571890625
"38.03125_-121.34375",3.7,"06","CA",38.03125,-121.34375,193.60798890625
"38.03125_-121.40625",-2.8,"06","CA",38.03125,-121.40625,193.83353890625
"38.03125_-121.46875",-4.7,"06","CA",38.03125,-121.46875,193.89946890625
